U0001,Cowboy Steakhouse,6.1
U0001,Blue Sky Diner,2.3
U0001,La Trattoria,3.8
U0001,Harvest Table,5.6
U0001,II Forno,3.8
U0001,Pasha's Palace,13.5
U0001,The Bedouin Table,12.8
U0001,Arabian Nights,12.7
U0001,Sahara Delights,11.9
U0001,Oasis Grill,10.4
U0001,Green Leaf Bistro,2.6
U0001,Garden Delight,2.4
U0001,Pure Veggie,9.3
U0001,Veggie Haven,3.2
U0001,YUAN Retaurants,3
U0001,Dragon Palace,9.3
U0001,Golden Wok,10.9
U0001,Jade Garden,7.7
U0001,Red Lantern,14.9
U0001,Bamboo House,9
U0001,Sakura Blossom,7.8
U0001,Zen Garden,10.5
U0001,Tokyo Table,12
U0001,Hana Sushi,0.9
U0001,Kyoto Kitchen,8.6
U0002,Cowboy Steakhouse,2.7
U0002,Blue Sky Diner,13.8
U0002,La Trattoria,12.8
U0002,Harvest Table,14.2
U0002,II Forno,7.9
U0002,Pasha's Palace,7.1
U0002,The Bedouin Table,2
U0002,Arabian Nights,4.7
U0002,Sahara Delights,5.6
U0002,Oasis Grill,3.7
U0002,Green Leaf Bistro,7.6
U0002,Garden Delight,2.5
U0002,Pure Veggie,14.2
U0002,Veggie Haven,1.5
U0002,YUAN Retaurants,2.9
U0002,Dragon Palace,4.1
U0002,Golden Wok,8.6
U0002,Jade Garden,2.1
U0002,Red Lantern,2.7
U0002,Bamboo House,3.6
U0002,Sakura Blossom,13.5
U0002,Zen Garden,1.2
U0002,Tokyo Table,3.2
U0002,Hana Sushi,5.4
U0002,Kyoto Kitchen,14.2
U0003,Cowboy Steakhouse,4.8
U0003,Blue Sky Diner,8.6
U0003,La Trattoria,10.1
U0003,Harvest Table,5.1
U0003,II Forno,1.7
U0003,Pasha's Palace,7.2
U0003,The Bedouin Table,3.3
U0003,Arabian Nights,14.3
U0003,Sahara Delights,2.7
U0003,Oasis Grill,11
U0003,Green Leaf Bistro,14.8
U0003,Garden Delight,8.6
U0003,Pure Veggie,12
U0003,Veggie Haven,5.2
U0003,YUAN Retaurants,8.9
U0003,Dragon Palace,11
U0003,Golden Wok,2.5
U0003,Jade Garden,0.7
U0003,Red Lantern,4.6
U0003,Bamboo House,5
U0003,Sakura Blossom,6.3
U0003,Zen Garden,13.2
U0003,Tokyo Table,10.1
U0003,Hana Sushi,6.6
U0003,Kyoto Kitchen,14
U0004,Cowboy Steakhouse,14.2
U0004,Blue Sky Diner,1.1
U0004,La Trattoria,3.4
U0004,Harvest Table,11.7
U0004,II Forno,13.5
U0004,Pasha's Palace,1.6
U0004,The Bedouin Table,8.8
U0004,Arabian Nights,6.6
U0004,Sahara Delights,7.9
U0004,Oasis Grill,12.3
U0004,Green Leaf Bistro,5.5
U0004,Garden Delight,2.7
U0004,Pure Veggie,8.1
U0004,Veggie Haven,14
U0004,YUAN Retaurants,10.9
U0004,Dragon Palace,2.4
U0004,Golden Wok,10.2
U0004,Jade Garden,3.6
U0004,Red Lantern,3.3
U0004,Bamboo House,5.8
U0004,Sakura Blossom,9
U0004,Zen Garden,4
U0004,Tokyo Table,5.1
U0004,Hana Sushi,3.6
U0004,Kyoto Kitchen,4.6
U0005,Cowboy Steakhouse,2.3
U0005,Blue Sky Diner,3.6
U0005,La Trattoria,13.9
U0005,Harvest Table,11.9
U0005,II Forno,5.7
U0005,Pasha's Palace,1.5
U0005,The Bedouin Table,11.4
U0005,Arabian Nights,6
U0005,Sahara Delights,6.8
U0005,Oasis Grill,3.4
U0005,Green Leaf Bistro,12.8
U0005,Garden Delight,0.9
U0005,Pure Veggie,1.9
U0005,Veggie Haven,9.2
U0005,YUAN Retaurants,6
U0005,Dragon Palace,3.4
U0005,Golden Wok,7.7
U0005,Jade Garden,5.6
U0005,Red Lantern,1.9
U0005,Bamboo House,6.7
U0005,Sakura Blossom,4.6
U0005,Zen Garden,1.5
U0005,Tokyo Table,6.1
U0005,Hana Sushi,1.8
U0005,Kyoto Kitchen,2.1
