Western,Cowboy Steakhouse,CS1,Appetizer,Buffalo Wings,10,"Spicy,Mild,Boneless"
Western,Cowboy Steakhouse,CS2,Appetizer,Caesar Salad,8,
Western,Cowboy Steakhouse,CS3,Appetizer,Mozzarella Sticks,7,
Western,Cowboy Steakhouse,CS4,Appetizer,Onion Rings,6,
Western,Cowboy Steakhouse,CS5,Main Course,Ribeye Steak,25,"Rare,Medium Rare,Medium,Medium Well,Well Done"
Western,Cowboy Steakhouse,CS6,Main Course,BBQ Ribs,22,"Spicy BBQ,Sweet BBQ,Dry Rub"
Western,Cowboy Steakhouse,CS7,Side,Garlic Mashed Potatoes,6,
Western,Cowboy Steakhouse,CS8,Dessert,Apple Pie,7,
Western,Cowboy Steakhouse,CS9,Drink,Lemonade,3,"Regular,Sugar-Free"
Western,Cowboy Steakhouse,CS10,Drink,Milkshake,5,"Vanilla,Chocolate,Strawberry"
Western,Blue Sky Diner,BD1,Appetizer,Chicken Tenders,8,"BBQ Sauce,Honey Mustard Plain"
Western,Blue Sky Diner,BD2,Appetizer,French Onion Soup,7,
Western,Blue Sky Diner,BD3,Appetizer,Cobb Salad,8,
Western,Blue Sky Diner,BD4,Appetizer,Shrimp Cocktail,9,"Extra Sauce,Less Sauce"
Western,Blue Sky Diner,BD5,Main Course,BLT Sandwich,10,
Western,Blue Sky Diner,BD6,Main Course,Fish and Chips,14,"Cod Fish,Haddock Fish "
Western,Blue Sky Diner,BD7,Side,Sweet Potato Fries,5,
Western,Blue Sky Diner,BD8,Dessert,Cheesecake,6,
Western,Blue Sky Diner,BD9,Drink,Soda,2,"Regular,Diet"
Western,Blue Sky Diner,BD10,Drink,Red Wine,7,"Merlot,Cabernet Sauvignon"
Western,La Trattoria,LT1,Appetizer,Bruschetta,7,
Western,La Trattoria,LT2,Appetizer,Garlic Bread,5,
Western,La Trattoria,LT3,Appetizer,Minestrone Soup,8,
Western,La Trattoria,LT4,Appetizer,Fried Calamari,9,
Western,La Trattoria,LT5,Appetizer,Focaccia Bread,6,"With Rosemary,With Olives"
Western,La Trattoria,LT6,Main Course,Margherita Pizza,14,"Crispy Crust,Gluten-Free Crust,Normal Crust"
Western,La Trattoria,LT7,Main Course,Fettuccine Alfredo,16,"Chicken,Shrimp"
Western,La Trattoria,LT8,Dessert,Tiramisu,9,
Western,La Trattoria,LT9,Drink,Espresso,3,
Western,La Trattoria,LT10,Drink,Limoncello,5,"Chiled,Room Temperature"
Western,Harvest Table,HT1,Appetizer,Stuffed Mushrooms,8,
Western,Harvest Table,HT2,Appetizer,Tomato Basil Soup,6,
Western,Harvest Table,HT3,Appetizer,Mixed Greens Salad,7,"Vinaigrette,Ranch"
Western,Harvest Table,HT4,Appetizer,Nachos,8,
Western,Harvest Table,HT5,Main Course,Roast Beef,18,"Rare,Medium Rare,Medium,Medium Well,Well Done"
Western,Harvest Table,HT6,Main Course,Pork Chops,20,
Western,Harvest Table,HT7,Side,Mac and Cheese,5,
Western,Harvest Table,HT8,Dessert,Pecan Pie,7,"With Whipped Cream,Without Whipped Cream"
Western,Harvest Table,HT9,Drink,Iced Coffee,4,"With Milk,Black"
